bill_id,title,ministry,Member,introduction_date,Debate/Date Passed in LS,Debate/Date Passed in RS,status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date,year,is_amendment,is_appropriation,is_finance
3,"The Finance Bill, 2026",FINANCE,,2026-02-01,,,Unknown,,,,,2026,0,0,1
200,"THE SECURITIES MARKETS CODE, 2025",FINANCE,,2025-12-18,,,Pending,,,,,2025,0,0,0
195,"THE SABKA BIMA SABKI RAKSHA (AMENDMENT OF INSURANCE LAWS) BILL, 2025",FINANCE,,2025-12-16,16 Dec 2025,17 Dec 2025,Passed,40  of 2025,20/12/2025 ,,,2025,1,0,0
197,"THE VIKSIT BHARAT—GUARANTEE FOR ROZGAR AND AJEEVIKA MISSION (GRAMIN): VB—G RAM G (विकसित भारत—जी राम जी) BILL, 2025",RURAL DEVELOPMENT,,2025-12-16,18 Dec 2025,19 Dec 2025,Passed,36  of 2025,20/12/2025 ,,,2025,0,0,0
150,"The Appropriation (No.4) Bill,2025",FINANCE,,2025-12-15,15 Dec 2025,16 Dec 2025,Passed,38  of 2025,20/12/2025 ,,,2025,0,1,0
193,"THE REPEALING AND AMENDING BILL, 2025",LAW AND JUSTICE,,2025-12-15,16 Dec 2025,17 Dec 2025,Passed,37  of 2025,20/12/2025 ,,,2025,0,0,0
194,"THE VIKSIT BHARAT SHIKSHA ADHISHTHAN BILL, 2025",EDUCATION,,2025-12-15,,,Unknown,,,,,2025,0,0,0
196,"The Sustainable Harnessing and Advancementof Nuclear Energy for Transforming India Bill, 2025",ATOMIC ENERGY,,2025-12-15,17 Dec 2025,18 Dec 2025,Passed,39  of 2025,20/12/2025 ,,,2025,0,0,0
140,"THE MANIPUR GOODS AND SERVICES TAX(SECOND AMENDMENT) BILL, 2025",FINANCE,,2025-12-01,1 Dec 2025,2 Dec 2025,Passed,33  of 2025,10/12/2025 ,,,2025,1,0,0
142,"THE HEALTH SECURITY SE NATIONAL SECURITY CESS BILL, 2025",FINANCE,,2025-12-01,5 Dec 2025,8 Dec 2025,Passed,35  of 2025,15/12/2025 ,,,2025,0,0,0
143,"THE CENTRAL EXCISE (AMENDMENT) BILL, 2025",FINANCE,,2025-12-01,3 Dec 2025,4 Dec 2025,Passed,34  of 2025,11/12/2025 ,,,2025,1,0,0
110,"THE PROMOTION AND REGULATION OF ONLINE GAMING BILL, 2025",ELECTRONICS AND INFORMATION TECHNOLOGY,,2025-08-20,20 Aug 2025,21 Aug 2025,Assented,32  of 2025,22/08/2025 ,,,2025,0,0,0
110,"THE PROMOTION AND REGULATION OF ONLINE GAMING BILL, 2025",ELECTRONICS AND INFORMATION TECHNOLOGY,,2025-08-20,20 Aug 2025,21 Aug 2025,Passed,32  of 2025,22/08/2025 ,,,2025,0,0,0
111,"THE CONSTITUTION (ONE HUNDRED AND THIRTIETH AMENDMENT) BILL, 2025",HOME AFFAIRS,,2025-08-20,,,Pending,,,,,2025,1,0,0
112,"THE JAMMU AND KASHMIR REORGANISATION (AMENDMENT) BILL, 2025",HOME AFFAIRS,,2025-08-20,,,Pending,,,,,2025,1,0,0
113,"THE GOVERNMENT OF UNION TERRITORIES (AMENDMENT) BILL, 2025",HOME AFFAIRS,,2025-08-20,,,Pending,,,,,2025,1,0,0
108,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2025",COMMERCE AND INDUSTRY,,2025-08-18,,,Pending,,,,,2025,1,0,0
109,"THE INDIAN INSTITUTES OF MANAGEMENT (AMENDMENT) BILL, 2025",EDUCATION,,2025-08-18,19 Aug 2025,20 Aug 2025,Assented,31  of 2025,21/08/2025 ,,,2025,1,0,0
109,"THE INDIAN INSTITUTES OF MANAGEMENT (AMENDMENT) BILL, 2025",EDUCATION,,2025-08-18,19 Aug 2025,20 Aug 2025,Passed,31  of 2025,21/08/2025 ,,,2025,1,0,0
107,"THE INSOLVENCY AND BANKRUPTCY CODE (AMENDMENT) BILL, 2025",CORPORATE AFFAIRS,,2025-08-12,,,Unknown,,,,,2025,1,0,0
104,"THE INCOME-TAX BILL, 2025",FINANCE,,2025-08-11,11 Aug 2025,12 Aug 2025,Assented,30  of 2025,21/08/2025 ,,,2025,0,0,0
104,"THE INCOME-TAX BILL, 2025",FINANCE,,2025-08-11,11 Aug 2025,12 Aug 2025,Passed,30  of 2025,21/08/2025 ,,,2025,0,0,0
105,"THE TAXATION LAWS (AMENDMENT) BILL, 2025",FINANCE,,2025-08-11,11 Aug 2025,12 Aug 2025,Assented,29  of 2025,21/08/2025 ,,,2025,1,0,0
105,"THE TAXATION LAWS (AMENDMENT) BILL, 2025",FINANCE,,2025-08-11,11 Aug 2025,12 Aug 2025,Passed,29  of 2025,21/08/2025 ,,,2025,1,0,0
106,"THE MINES AND MINERALS (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2025",MINES,,2025-08-11,12 Aug 2025,19 Aug 2025,Assented,28  of 2025,21/08/2025 ,,,2025,1,0,0
106,"THE MINES AND MINERALS (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2025",MINES,,2025-08-11,12 Aug 2025,19 Aug 2025,Passed,28  of 2025,21/08/2025 ,,,2025,1,0,0
101,"THE MANIPUR GOODS AND SERVICES TAX (AMENDMENT) BILL, 2025",FINANCE,,2025-08-07,7 Aug 2025,11 Aug 2025,Assented,22  of 2025,18/08/2025 ,,,2025,1,0,0
101,"THE MANIPUR GOODS AND SERVICES TAX (AMENDMENT) BILL, 2025",FINANCE,,2025-08-07,7 Aug 2025,11 Aug 2025,Passed,22  of 2025,18/08/2025 ,,,2025,1,0,0
103,"The Manipur Appropriation (No.2) Bill,2025",FINANCE,,2025-08-07,7 Aug 2025,11 Aug 2025,Assented,23  of 2025,18/08/2025 ,,,2025,0,1,0
103,"The Manipur Appropriation (No.2) Bill,2025",FINANCE,,2025-08-07,7 Aug 2025,11 Aug 2025,Passed,23  of 2025,18/08/2025 ,,,2025,0,1,0
76,"THE NATIONAL SPORTS GOVERNANCE BILL, 2025",YOUTH AFFAIRS AND SPORTS,,2025-07-23,11 Aug 2025,12 Aug 2025,Assented,25  of 2025,18/08/2025 ,,,2025,0,0,0
76,"THE NATIONAL SPORTS GOVERNANCE BILL, 2025",YOUTH AFFAIRS AND SPORTS,,2025-07-23,11 Aug 2025,12 Aug 2025,Passed,25  of 2025,18/08/2025 ,,,2025,0,0,0
77,"THE NATIONAL ANTI-DOPING (AMENDMENT) BILL, 2025",YOUTH AFFAIRS AND SPORTS,,2025-07-23,11 Aug 2025,12 Aug 2025,Assented,26  of 2025,18/08/2025 ,,,2025,1,0,0
