url,title,ministry,status,house,introduction_date,passed_ls,passed_rs,assent_date,type,short_title,bill_id,total_actions
https://prsindia.org/billtrack/the-constitution-103rd-amendment-bill-2004,"The Constitution (103rd Amendment) Bill, 2004",,Introduced,Lok Sabha,,,,,Government,The Constitution (103rd Amendment) Bill,1000,5
https://prsindia.org/billtrack/the-multi-state-co-operative-societies-amendment-bill-2010,"The Multi-State Co-operative Societies (Amendment) Bill, 2010",Agriculture,Introduced,Lok Sabha,,,,,Government,The Multi-State Co-operative Societies (Amendment) Bill,1001,5
https://prsindia.org/billtrack/the-benami-transactions-prohibition-amendment-bill-2015,"The Benami Transactions (Prohibition) (Amendment) Bill, 2015",Finance,Unknown,Lok Sabha,,,,,Government,The Benami Transactions (Prohibition) (Amendment) Bill,1002,5
https://prsindia.org/billtrack/the-small-industries-development-bank-of-india-amendment-bill-2012,"The Small Industries Development Bank of India (Amendment) Bill, 2012",Finance,Introduced,Lok Sabha,,,,,Government,The Small Industries Development Bank of India (Amendment) Bill,1003,5
https://prsindia.org/billtrack/the-factories-amendment-bill-2014,"The Factories (Amendment) Bill, 2014",Labour,Introduced,Lok Sabha,,,,,Government,The Factories (Amendment) Bill,1004,5
https://prsindia.org/billtrack/the-arbitration-and-conciliation-amendment-bill-2021,"The Arbitration and Conciliation (Amendment) Bill, 2021",Law and Justice,Passed,Lok Sabha,,,,,Government,The Arbitration and Conciliation (Amendment) Bill,1005,5
https://prsindia.org/billtrack/the-indian-institutes-of-information-technology-bill-2013,"The Indian Institutes of Information Technology Bill, 2013",Human Resource Development,Introduced,Lok Sabha,,,,,Government,The Indian Institutes of Information Technology Bill,1006,5
https://prsindia.org/billtrack/the-payment-of-gratuity-amendment-bill-2009,"The Payment of Gratuity (Amendment) Bill, 2009",Labour,Passed,Lok Sabha,,,,,Government,The Payment of Gratuity (Amendment) Bill,1007,5
https://prsindia.org/billtrack/the-salary-allowances-and-pension-of-members-of-parliament-amendment-bill-2020,"The Salary, Allowances and Pension of Members of Parliament (Amendment) Bill, 2020",Parliamentary Affairs,Passed,Lok Sabha,,,,,Government,The Salary,1008,5
https://prsindia.org/billtrack/the-insolvency-and-bankruptcy-code-amendment-bill-2025,"The Insolvency and Bankruptcy Code (Amendment) Bill, 2025",Finance,Withdrawn,Lok Sabha,,,,,Government,The Insolvency and Bankruptcy Code (Amendment) Bill,1009,5
https://prsindia.org/billtrack/the-micro-finance-institutions-development-and-regulation-bill-2012,"The Micro Finance Institutions (Development and Regulation) Bill, 2012",Finance,Introduced,Lok Sabha,,,,,Government,The Micro Finance Institutions (Development and Regulation) Bill,1010,5
https://prsindia.org/billtrack/the-north-eastern-areas-reorganisation-and-other-related-laws-amendment-bill-2012,"The North-Eastern Areas (Reorganisation) and Other Related Laws (Amendment) Bill, 2012",Home Affairs,Passed,Lok Sabha,,,,,Government,The North-Eastern Areas (Reorganisation) and Other Related Laws (Amendment) Bill,1011,5
https://prsindia.org/billtrack/the-oilfields-regulation-and-development-amendment-bill-2024,"The Oilfields (Regulation and Development) Amendment Bill, 2024",Petroleum and Natural Gas,Passed,Lok Sabha,,,,,Government,The Oilfields (Regulation and Development) Amendment Bill,1012,5
https://prsindia.org/billtrack/the-scheduled-castes-and-the-scheduled-tribes-prevention-of-atrocities-amendment-bill-2014,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2014",Social Justice and Welfare,Passed,Lok Sabha,,,,,Government,The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill,1013,5
https://prsindia.org/billtrack/the-delhi-rent-amendment-bill-1997,"The Delhi Rent (Amendment) Bill, 1997",Urban Development,Introduced,Rajya Sabha,,,,,Government,The Delhi Rent (Amendment) Bill,1014,5
